aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","788134301215015021",true,8.9140862,false,"",0.16362864,0.0730726,0.07534024,"",1,false,1,20.394192,19.55211,58542.13430560008,"ZTF18acukdvz",793153331215015000,788134301215,83.5350271,"ztf","ztf",20.737497,0.13403656,0,"",20.1108,20.1876,788,0.5871429,"t15_f5_c3",511120112,0.223,0.3055,"bulk_1.0.0"
"","793153331215015053",true,8.9140819,false,"",0.15276417,0.05996648,0.062854476,"",2,false,1,19.791676,18.827463,58547.15333329979,"ZTF18acukdvz",819130411215015000,793153331215,83.5350642,"ztf","ztf",20.447424,0.0810168,0,"",19.6881,19.6295,793,0.4942857,"t15_f5_c3",511120212,0.2022,0.2446,"bulk_1.0.0"
"","819130411215015027",true,8.9141,false,"",0.16151258,0.07365989,0.075600974,"",2,true,1,19.541811,18.717613,58573.13041670015,"ZTF18acukdvz",0,819130411215,83.5350864,"ztf","ztf",19.988752,0.058235694,0,"",19.5894,19.5453,819,0.52,"t15_f5_c3",511120212,0.2826,0.3478,"bulk_1.0.0"
"","962484911215015013",true,8.9139946,false,"",0.292282,0.110078186,0.11183691,"",2,false,1,19.9224,18.879356,58716.48491899995,"ZTF18acukdvz",968496551215015000,962484911215,83.535065,"ztf","ztf",19.7817,0.385859,"","",20.0415,20.3422,962,0.82,"t17_f5_c3","",0.486,0.8228,"bulk_1.0.0"
"","968464601215015013",true,8.9141051,false,"",0.234598,0.12108266,0.12217401,"",1,false,1,20.1317,19.423336,58722.46460650023,"ZTF18acukdvz",968496551215015000,968464601215,83.5351292,"ztf","ztf",20.3974,0.239119,"","",20.1912,20.1286,968,0.832857,"t17_f5_c3","",0.3266,0.3946,"bulk_1.0.0"
"","968496551215015010",true,8.9140478,false,"",0.15312937,0.061818153,0.064531215,"",2,false,1,19.747137,18.808916,58722.49655089993,"ZTF18acukdvz",971503641215015000,968496551215,83.5350283,"ztf","ztf",20.447296,0.24746194,0.999969,"d6_m7",19.8542,19.757,968,0.73571426,"t17_f5_c3",511120212,0.2495,0.2913,"bulk_1.0.0"
"","971474901215015017",true,8.9141297,false,"",0.238863,0.11369209,0.11504993,"",1,false,1,20.3017,19.508545,58725.47490740009,"ZTF18acukdvz",971503641215015000,971474901215,83.5350141,"ztf","ztf",20.4575,0.228761,"","",19.9725,19.8195,971,0.712857,"t17_f5_c3","",0.2383,0.265,"bulk_1.0.0"
"","971503641215015017",true,8.9140405,false,"",0.14417066,0.058774095,0.06156744,"",2,false,1,19.722115,18.7983,58725.503645800054,"ZTF18acukdvz",978514681215015000,971503641215,83.5350753,"ztf","ztf",20.458118,0.22492719,0.99999815,"d6_m7",19.5551,19.3994,971,0.7757143,"t17_f5_c3",511120212,0.1823,0.2017,"bulk_1.0.0"
"","978453361215015023",true,8.9141772,false,"",0.21363509,0.097407706,0.09909862,"",1,false,1,20.37919,19.545177,58732.45336809987,"ZTF18acukdvz",978514681215015000,978453361215,83.535066,"ztf","ztf",20.355093,0.33873323,0.99989986,"d6_m7",20.5124,20.3469,978,0.9071429,"t17_f5_c3",511120112,0.3997,0.4397,"bulk_1.0.0"
"","978514681215015043",true,8.9140501,false,"",0.18219729,0.06009408,0.0636016,"",2,false,1,20.079502,18.936817,58732.51468749996,"ZTF18acukdvz",981520571215015000,978514681215,83.5350551,"ztf","ztf",20.359001,0.19560558,0.9999922,"d6_m7",20.1599,20.1767,978,0.65,"t17_f5_c3",511120212,0.3536,0.4594,"bulk_1.0.0"
"","980520711215015017",true,8.9141146,false,"",0.293793,0.16249184,0.16319324,"",1,false,1,19.9801,19.341753,58734.520717599895,"ZTF18acukdvz",1009461291215015000,980520711215,83.5350679,"ztf","ztf",19.6068,0.109176,"","",20.4289,20.3699,980,0.811429,"t17_f5_c3","",0.663,0.8064,"bulk_1.0.0"
"","981477831215015018",true,8.9140901,false,"",0.30861,0.14124434,0.14242601,"",1,false,1,20.3895,19.549948,58735.4778355998,"ZTF18acukdvz",1009461291215015000,981477831215,83.5351545,"ztf","ztf",20.1504,0.31838,"","",20.4118,20.2698,981,0.751429,"t17_f5_c3","",0.3289,0.3698,"bulk_1.0.0"
"","981520571215015026",true,8.914198,false,"",0.19608025,0.07724507,0.079551615,"",2,false,1,19.81746,18.837997,58735.52057870012,"ZTF18acukdvz",1009461291215015000,981520571215,83.5351033,"ztf","ztf",20.014246,0.35647625,0.9998542,"d6_m7",20.4089,20.2208,981,0.7985714,"t17_f5_c3",511120212,0.5504,0.5939,"bulk_1.0.0"
"","990463991215015005",true,8.9140105,false,"",0.32263,0.12394374,0.12547682,"",2,false,1,19.8936,18.868248,58744.463993099984,"ZTF18acukdvz",1009461291215015000,990463991215,83.5349085,"ztf","ztf",19.6086,0.663912,"","",19.5853,19.9735,990,0.777143,"t17_f5_c3","",0.3801,0.6971,"bulk_1.0.0"
"","1005441561215015013",true,8.9141171,false,"",0.280571,0.0933416,0.095984384,"",1,false,1,20.932,19.767393,58759.44156249985,"ZTF18acukdvz",1009461291215015000,1005441561215,83.5351267,"ztf","ztf",20.6494,0.24005,"","",20.9423,20.6771,1005,0.728571,"t17_f5_c3","",0.5154,0.5176,"bulk_1.0.0"
"","1009461291215015016",true,8.9141016,false,"",0.2086743,0.09308922,0.09491653,"",1,false,1,20.418598,19.56328,58763.46129629994,"ZTF18acukdvz",1037316361215015000,1009461291215,83.5351302,"ztf","ztf",20.607824,0.23959792,0.99991405,"d6_m7",20.4206,20.4881,1009,0.93285716,"t17_f5_c3",511120112,0.3074,0.4185,"bulk_1.0.0"
"","1009502761215015028",true,8.9140692,false,"",0.264412,0.08549212,0.088114314,"",2,false,1,20.156,18.962914,58763.502766199876,"ZTF18acukdvz",1037316361215015000,1009502761215,83.5350883,"ztf","ztf",20.4644,0.140054,"","",19.6936,19.6779,1009,0.644286,"t17_f5_c3","",0.2025,0.2546,"bulk_1.0.0"
"","1012478661215015023",true,8.9140774,false,"",0.278387,0.09246317,0.09513335,"",1,false,1,20.9338,19.76801,58766.47866899986,"ZTF18acukdvz",1037316361215015000,1012478661215,83.5349932,"ztf","ztf",20.7895,0.25505,"","",20.487,20.6336,1012,0.701429,"t17_f5_c3","",0.289,0.4227,"bulk_1.0.0"
"","1031460121215015025",true,8.9141908,false,"",0.334952,0.12417886,0.12597759,"",1,false,1,20.7715,19.709776,58785.46012730012,"ZTF18acukdvz",1037316361215015000,1031460121215,83.5350406,"ztf","ztf",20.4325,0.388028,"","",20.5652,20.5222,1031,0.767143,"t17_f5_c3","",0.3888,0.4784,"bulk_1.0.0"
"","1034418861215015009",true,8.9141963,false,"",0.263315,0.11439098,0.11596252,"",1,false,1,20.4821,19.591705,58788.41886569979,"ZTF18acukdvz",1037316361215015000,1034418861215,83.5349793,"ztf","ztf",20.5487,0.499998,"","",20.5507,20.1254,1034,0.81,"t17_f5_c3","",0.3698,0.3203,"bulk_1.0.0"
"","1037316361215015017",true,8.9140395,false,"",0.20950833,0.10796704,0.109187625,"",1,false,1,20.130043,19.422474,58791.316365700215,"ZTF18acukdvz",1037469751215015000,1037316361215,83.5350977,"ztf","ztf",20.485243,0.20037428,0.9999797,"d6_m7",20.0843,20.2604,1037,0.8257143,"t17_f5_c3",511120112,0.2622,0.3938,"bulk_1.0.0"
"","1037469751215015015",true,8.9141122,false,"",0.120635614,0.054522086,0.05706987,"",2,true,1,19.52004,18.707369,58791.46975689987,"ZTF18acukdvz",0,1037469751215,83.5350627,"ztf","ztf",20.333736,0.035994723,0.9999994,"d6_m7",19.3294,19.2388,1037,0.89428574,"t17_f5_c3",511120212,0.1644,0.1932,"bulk_1.0.0"
"","1092274091215015021",true,8.9140684,false,"",0.23527,0.06342372,0.06740808,"",2,false,1,20.3936,19.036465,58846.27409720002,"ZTF18acukdvz",1117248031215015000,1092274091215,83.5350759,"ztf","ztf",20.3266,0.131469,"","",20.3895,20.0967,1092,0.717143,"t17_f5_c3","",0.4271,0.4181,"bulk_1.0.0"
"","1107189531215015014",true,8.9140561,false,"",0.21204606,0.09008134,0.091888286,"",2,false,1,19.69423,18.786304,58861.18953699991,"ZTF18acukdvz",1126248481215015000,1107189531215,83.5349691,"ztf","ztf",19.649374,0.39343935,0.99534714,"d6_m7",19.5763,19.6986,1107,0.79,"t17_f5_c3",511120212,0.2973,0.4269,"bulk_1.0.0"
"","1108223471215015020",true,8.9140226,false,"",0.15993617,0.06441394,0.06704182,"",2,false,1,19.757109,18.813107,58862.22347219987,"ZTF18acukdvz",1126248481215015000,1108223471215,83.5350849,"ztf","ztf",20.359612,0.29326376,0.99998164,"d6_m7",19.7791,19.5464,1108,0.73571426,"t17_f5_c3",511120212,0.2519,0.2605,"bulk_1.0.0"
"","1109154311215015078",true,8.9140441,false,"",0.282858,0.15826346,0.1589626,"",1,false,1,19.9514,19.325716,58863.15431710007,"ZTF18acukdvz",1126248481215015000,1109154311215,83.5351031,"ztf","ztf",19.6621,0.195012,"","",20.4495,20.2924,1109,0.458571,"t17_f5_c3","",0.6708,0.7447,"bulk_1.0.0"
"","1109206341215015017",true,8.914044,false,"",0.17300975,0.08168064,0.08334721,"",2,false,1,19.4823,18.68935,58863.20634259982,"ZTF18acukdvz",1126248481215015000,1109206341215,83.5350527,"ztf","ztf",19.75435,0.22130546,0.9999994,"d6_m7",19.9651,19.5812,1109,0.8414286,"t17_f5_c3",511120212,0.4781,0.4308,"bulk_1.0.0"
"","1113225391215015010",true,8.9141072,false,"",0.15842915,0.09191115,0.092978254,"",1,false,1,19.840836,19.262201,58867.22539350018,"ZTF18acukdvz",1126248481215015000,1113225391215,83.5350725,"ztf","ztf",20.509026,0.07770959,0.99999833,"d6_m7",20.1585,20.3524,1113,0.89857143,"t17_f5_c3",511120112,0.2772,0.4235,"bulk_1.0.0"
"","1117209581215015019",true,8.9140846,false,"",0.12962781,0.070435084,0.072036654,"",1,false,1,19.979006,19.341145,58871.209583300166,"ZTF18acukdvz",1126248481215015000,1117209581215,83.5350716,"ztf","ztf",20.585426,0.020893555,0.99999803,"d6_m7",19.9065,19.9209,1117,0.8914286,"t17_f5_c3",511120112,0.1898,0.2456,"bulk_1.0.0"
"","1117248031215015011",true,8.9140769,false,"",0.13704823,0.06856115,0.070309766,"",2,false,1,19.346401,18.621758,58871.24803239992,"ZTF18acukdvz",1126248481215015000,1117248031215,83.535057,"ztf","ztf",20.419891,0.09957806,0.99999666,"d6_m7",19.4509,19.5594,1117,0.93857145,"t17_f5_c3",511120212,0.1566,0.2206,"bulk_1.0.0"
"","1118225771215015017",true,8.9141368,false,"",0.124385744,0.06615017,0.06792654,"",1,false,1,20.021238,19.36441,58872.22577549983,"ZTF18acukdvz",1126248481215015000,1118225771215,83.5350128,"ztf","ztf",20.778694,0.27595252,0.99997914,"d6_m7",20.042,19.7206,1118,0.8414286,"t17_f5_c3",511120112,0.1997,0.1901,"bulk_1.0.0"
"","1119175041215015021",true,8.9140538,false,"",0.09786579,0.051599458,0.053591765,"",2,false,1,19.195627,18.541796,58873.17504630005,"ZTF18acukdvz",1126248481215015000,1119175041215,83.535063,"ztf","ztf",20.5924,0.17356509,0.9999925,"d6_m7",19.3512,19.447,1119,0.8857143,"t17_f5_c3",511120212,0.1341,0.1862,"bulk_1.0.0"
"","1120207091215015060",true,8.9140584,false,"",0.15493293,0.09835124,0.0991112,"",1,false,1,19.598701,19.11365,58874.207094899844,"ZTF18acukdvz",1126248481215015000,1120207091215,83.5350617,"ztf","ztf",20.1854,0.096537955,0.99999994,"d6_m7",20.1857,20.0768,1120,0.6185714,"t17_f5_c3",511120112,0.4116,0.477,"bulk_1.0.0"
"","1120212731215015011",true,8.9140999,false,"",0.16259867,0.09561215,0.0964932,"",2,false,1,18.992352,18.4258,58874.212731500156,"ZTF18acukdvz",1126248481215015000,1120212731215,83.5350281,"ztf","ztf",19.975325,0.14953996,0.9994115,"d6_m7",18.8217,19.0073,1120,0.8414286,"t17_f5_c3",511120212,0.1503,0.2274,"bulk_1.0.0"
"","1121224831215015016",true,8.9140482,false,"",0.084222,0.05039171,0.051869318,"",2,false,1,18.8905,18.364212,58875.22483799979,"ZTF18acukdvz",1126248481215015000,1121224831215,83.5350638,"ztf","ztf",20.3097,0.198692,"","",18.7547,18.7554,1121,0.515714,"t17_f5_c3","",0.0812,0.1029,"bulk_1.0.0"
"","1122163501215015021",true,8.9140644,false,"",0.098303035,0.06781525,0.06858954,"",1,false,1,19.31374,18.922968,58876.16350689996,"ZTF18acukdvz",1123166131215015000,1122163501215,83.5350668,"ztf","ztf",20.547838,0.075476475,0.99999917,"d6_m7",19.3844,19.4187,1122,0.9042857,"t17_f5_c3",511120112,0.1256,0.1651,"bulk_1.0.0"
"","1122163501215025015",true,8.914065,false,"",0.103361,0.07013898,0.0709449,"",1,false,1,19.3716,18.96301,58876.16350689996,"ZTF18acukdvz",1126248481215015000,1122163501215,83.5350648,"ztf","ztf",20.5818,0.073365,"","",19.4456,19.4999,1122,0.921429,"t17_f5_c3","",0.1283,0.1717,"bulk_1.0.0"
"","1123150491215015015",true,8.9140788,false,"",0.07292027,0.045250434,0.046691388,"",2,false,1,18.776857,18.29283,58877.15049770009,"ZTF18acukdvz",1126248481215015000,1123150491215,83.535059,"ztf","ztf",20.226501,0.101039216,0.99999964,"d6_m7",18.9463,18.9267,1123,0.94142854,"t17_f5_c3",511120212,0.1127,0.141,"bulk_1.0.0"
"","1123166131215015007",true,8.9140554,false,"",0.09230533,0.05885005,0.059911944,"",2,false,1,18.735357,18.266073,58877.166134300176,"ZTF18acukdvz",1126248481215015000,1123166131215,83.5350498,"ztf","ztf",20.346409,0.19736798,0.9999999,"d6_m7",18.8058,18.788,1123,0.94857144,"t17_f5_c3",511120212,0.0928,0.1161,"bulk_1.0.0"
"","1123213471215015021",true,8.9140849,false,"",0.10503356,0.07063533,0.071466215,"",1,false,1,19.40154,18.983473,58877.21347220009,"ZTF18acukdvz",1126248481215015000,1123213471215,83.535066,"ztf","ztf",20.57642,0.0005372018,0.9999919,"d6_m7",19.619,19.7073,1123,0.9028571,"t17_f5_c3",511120112,0.1524,0.2107,"bulk_1.0.0"
"","1124162181215015009",true,8.9141376,false,"",0.13978724,0.0902373,0.09092784,"",2,false,1,18.728628,18.261702,58878.162187499925,"ZTF18acukdvz",1126248481215015000,1124162181215,83.5350179,"ztf","ztf",19.59138,0.22543189,0.9953462,"d6_m7",18.7983,18.8107,1124,0.56,"t17_f5_c3",511120212,0.1013,0.1307,"bulk_1.0.0"
"","1124199361215015010",true,8.9139876,false,"",0.20911726,0.14950804,0.1498186,"",1,false,1,19.215698,18.853638,58878.19936340023,"ZTF18acukdvz",1126248481215015000,1124199361215,83.5350985,"ztf","ztf",19.764555,0.34981045,0.9879655,"d6_m7",19.4876,19.404,1124,0.48857144,"t17_f5_c3",511120112,0.1506,0.1784,"bulk_1.0.0"
"","1126185321215015022",true,8.9140794,false,"",0.077020474,0.053339012,0.054176826,"",2,false,1,18.46538,18.083399,58880.185324099846,"ZTF18acukdvz",1126248481215015000,1126185321215,83.5350556,"ztf","ztf",20.11282,0.10083881,0.99999976,"d6_m7",18.4202,18.4743,1126,0.94857144,"t17_f5_c3",511120212,0.075,0.1001,"bulk_1.0.0"
"","1126193091215015006",true,8.9140833,false,"",0.07048525,0.048898198,0.04979246,"",2,false,1,18.449638,18.072302,58880.193090300076,"ZTF18acukdvz",1126248481215015000,1126193091215,83.5350516,"ztf","ztf",20.168507,0.09940385,0.9999999,"d6_m7",18.563,18.5203,1126,0.95857143,"t17_f5_c3",511120212,0.0839,0.1026,"bulk_1.0.0"
"","1126248481215015017",true,8.9140877,false,"",0.11219429,0.084248744,0.08466092,"",1,false,1,19.002441,18.696722,58880.24848379986,"ZTF18acukdvz",1145171341215015000,1126248481215,83.5350884,"ztf","ztf",20.207615,0.08877539,0.99999785,"d6_m7",19.0414,18.9353,1126,0.93142855,"t17_f5_c3",511120112,0.1184,0.1372,"bulk_1.0.0"
"","1127155621215015005",true,8.9140487,false,"",0.121441305,0.08955586,0.08998777,"",1,false,1,19.080715,18.755259,58881.15562500013,"ZTF18acukdvz",1145171341215015000,1127155621215,83.5350755,"ztf","ztf",20.0543,0.13743918,0.9999999,"d6_m7",18.956,18.9133,1127,0.9128571,"t17_f5_c3",511120112,0.1226,0.1507,"bulk_1.0.0"
"","1128148101215015008",true,8.9141023,false,"",0.09490737,0.06279611,0.063673064,"",2,false,1,18.62969,18.19633,58882.14810189977,"ZTF18acukdvz",1145171341215015000,1128148101215,83.5350651,"ztf","ztf",20.158154,0.016886646,0.99999917,"d6_m7",18.7794,18.8138,1128,0.94142854,"t17_f5_c3",511120212,0.1141,0.1502,"bulk_1.0.0"
"","1132133191215015000",true,8.914092,false,"",0.109574206,0.06704769,0.068131305,"",2,false,1,18.863258,18.347355,58886.1331944,"ZTF18acukdvz",1145171341215015000,1132133191215,83.5350762,"ztf","ztf",19.610903,0.041775092,0.99999285,"d6_m7",18.9129,18.6258,1132,0.92285717,"t17_f5_c3",511120212,0.2131,0.2099,"bulk_1.0.0"
"","1132211791215015007",true,8.9139235,false,"",0.23388,0.1525611,0.15301336,"",1,false,1,19.5296,19.068941,58886.21179400012,"ZTF18acukdvz",1145171341215015000,1132211791215,83.5350883,"ztf","ztf",19.3789,0.574117,"","",19.0138,18.9476,1132,0.405714,"t17_f5_c3","",0.2579,0.3114,"bulk_1.0.0"
"","1133228371215015007",true,8.9141565,false,"",0.250661,0.16200916,0.16245039,"",1,false,1,19.559,19.088085,58887.228379600216,"ZTF18acukdvz",1145171341215015000,1133228371215,83.5350602,"ztf","ztf",19.402,0.252544,"","",20.4699,19.7646,1133,0.708571,"t17_f5_c3","",1.0592,0.7111,"bulk_1.0.0"
"","1136205411215015015",true,8.9140927,false,"",0.14628017,0.09352189,0.09421295,"",2,false,1,18.759134,18.281446,58890.20541669987,"ZTF18acukdvz",1145171341215015000,1136205411215,83.5350228,"ztf","ztf",19.457932,0.17038271,0.99998105,"d6_m7",18.8801,18.8345,1136,0.8314286,"t17_f5_c3",511120212,0.1633,0.2005,"bulk_1.0.0"
"","1136211781215015014",true,8.9140861,false,"",0.18932518,0.13488278,0.13523215,"",1,false,1,19.227154,18.861834,58890.21178240003,"ZTF18acukdvz",1145171341215015000,1136211781215,83.5350658,"ztf","ztf",19.385605,0.009697643,0.99789023,"d6_m7",19.1206,19.1995,1136,0.7157143,"t17_f5_c3",511120112,0.2152,0.2969,"bulk_1.0.0"
"","1138162741215015016",true,8.9141122,false,"",0.1427708,0.09008009,0.090922385,"",1,false,1,19.612162,19.12224,58892.162743099965,"ZTF18acukdvz",1145171341215015000,1138162741215,83.5350691,"ztf","ztf",20.487095,0.089878455,0.9999989,"d6_m7",19.7186,19.6962,1138,0.91571426,"t17_f5_c3",511120112,0.1778,0.2224,"bulk_1.0.0"
"","1139183731215015015",true,8.9141088,false,"",0.12253761,0.07590286,0.07694962,"",1,false,1,19.65361,19.148453,58893.18373840023,"ZTF18acukdvz",1145171341215015000,1139183731215,83.5350528,"ztf","ztf",20.791,0.088139564,0.9999722,"d6_m7",19.6089,19.4307,1139,0.8657143,"t17_f5_c3",511120112,0.1412,0.1528,"bulk_1.0.0"
"","1141147581215015016",true,8.9141133,false,"",0.16658807,0.10536338,0.10608453,"",1,false,1,19.612322,19.122343,58895.14758099988,"ZTF18acukdvz",1145171341215015000,1141147581215,83.5350734,"ztf","ztf",20.52061,0.09989503,0.9993814,"d6_m7",19.6256,19.4476,1141,0.87142855,"t17_f5_c3",511120112,0.1544,0.1674,"bulk_1.0.0"
"","1142159281215015025",true,8.9141001,false,"",0.08855548,0.0547169,0.055969562,"",2,false,1,18.815695,18.317535,58896.15928239981,"ZTF18acukdvz",1145171341215015000,1142159281215,83.5350618,"ztf","ztf",20.591862,0.023805864,0.9999999,"d6_m7",18.9848,19.0383,1142,0.9114286,"t17_f5_c3",511120212,0.0955,0.1271,"bulk_1.0.0"
"","1142164781215015028",true,8.9140877,false,"",0.08361333,0.051996395,0.053276844,"",2,false,1,18.791567,18.302225,58896.164780099876,"ZTF18acukdvz",1145171341215015000,1142164781215,83.535056,"ztf","ztf",20.52142,0.074819125,0.99999857,"d6_m7",18.8542,18.8452,1142,0.94857144,"t17_f5_c3",511120212,0.0874,0.11,"bulk_1.0.0"
